bse_symbol,nse_symbol
ORIENTLTD,ORIENTLTD
GANESHHOUC,GANESHHOUC
NMDC,NMDC
PATINTLOG,PATINTLOG
ALPHAGEO,ALPHAGEO
SANGHIIND,SANGHIIND
CCHHL,CCHHL
TECHIN,TECHIN
TPLPLAST,TPLPLASTEH
LIBERTSHOE,LIBERTSHOE
ELECTHERM,ELECTHERM
BLUEDART,BLUEDART
MIRZAINT,MIRZAINT
TFCILTD,TFCILTD
ARENTERP,ARENTERP
BIL,BIL
KAMATHOTEL,KAMATHOTEL
DALALSTCOM,DALALSTCOM
HOTELRUGBY,HOTELRUGBY
SANDESH,SANDESH
GOLDIAM,GOLDIAM
GREENPLY,GREENPLY
SEAMECLTD,SEAMECLTD
CONFIPET,CONFIPET
BANARBEADS,BANARBEADS
63MOONS,63MOONS
SARLAPOLY,SARLAPOLY
21STCENMGM,21STCENMGM
LAOPALA,LAOPALA
VENUSREM,VENUSREM
URJAGLOBA,URJA
ASHAPURMIN,ASHAPURMIN
GUJALKALI,GUJALKALI
INDIACEM,INDIACEM
JKTYRE,JKTYRE
MANGCHEFER,MANGCHEFER
SIL,SIL
JUBLPHARMA,JUBLPHARMA
THEINVEST,THEINVEST
MOHOTAIND,MOHOTAIND
SANGHVIMOV,SANGHVIMOV
SELAN,SELAN
PRIVISCL,PRIVISCL
OPTIEMUS,OPTIEMUS
THEMISMED,THEMISMED
SUVEN,SUVEN
KOTHARIPRO,KOTHARIPRO
CHAMANSEQ,CLSEL
GENUSPOWER,GENUSPOWER
UGARSUGAR,UGARSUGAR
ORIENTBELL,ORIENTBELL
NRBBEARING,NRBBEARING
NILA,NILAINFRA
DBSTOCKBRO,DBSTOCKBRO
RELAXO,RELAXO
SHILPAMED,SHILPAMED
PARACABLES,PARACABLES
GOODLUCK,GOODLUCK
RAJRAYON,RAJRAYON
ALPSINDUS,ALPSINDUS
STERTOOLS,STERTOOLS
BHAGIL,BHAGERIA
KRBL,KRBL
CUPID,CUPID
CHEMBOND,CHEMBOND
REMSONSIND,REMSONSIND
SABTN,SABTN
VIKASECO,VIKASECO
IOC,IOC
BALAMINES,BALAMINES
ALANKIT,ALANKIT
OMINFRAL,OMINFRAL
PATELENG,PATELENG
ALICON,ALICON
EMAMILTD,EMAMILTD
ARMANFIN,ARMANFIN
NUCLEUS,NUCLEUS
MANAPPURAM,MANAPPURAM
LINCPENQ,LINCPEN
VSTTILLERS,VSTTILLERS
HAVISHA,HAVISHA
ZYDUSWELL,ZYDUSWELL
JUMPNET,JUMPNET
CONCOR,CONCOR
PANACEABIO,PANACEABIO
THEBYKE,BYKE
ARIHANT,ARIHANT
ALMONDZ,ALMONDZ
TNPL,TNPL
SHAKTIPUMP,SHAKTIPUMP
GOLDTECH,GOLDTECH
MOHITIND,MOHITIND
MADHUCON,MADHUCON
RAJESHEXPO,RAJESHEXPO
EVEREADY,EVEREADY
VIKASPROP,VIKASPROP
HATSUN,HATSUN
JINDWORLD,JINDWORLD
SOMANYCERA,SOMANYCERA
CORALFINAC,CORALFINAC
CGCL,CGCL
FDC,FDC
COUNCODOS,COUNCODOS
LINCOPH,LINCOLN
MARICO,MARICO
VIDHIING,VIDHIING
PRAENG,PRAENG
APOLLOPIPES,APOLLOPIPE
POLYMED,POLYMED
ATULAUTO,ATULAUTO
PIONDIST,PIONDIST
KHANDSE,KHANDSE
AGARIND,AGARIND
AMBIKCO,AMBIKCO
LCCINFOTEC,LCCINFOTEC
JAINSTUDIO,JAINSTUDIO
SWELECTES,SWELECTES
KDDL,KDDL
BSELINFRA,BSELINFRA
BANKBARODA,BANKBARODA
ANDHRACEMT,ANDHRACEMT
SKMEGGPROD,SKMEGGPROD
WELCORP,WELCORP
BANKINDIA,BANKINDIA
INDRAMEDCO,INDRAMEDCO
GAIL,GAIL
VAIBHAVGBL,VAIBHAVGBL
JKPAPER,JKPAPER
SAREGAMA,SAREGAMA
ADROITINFO,ADROITINFO
CYBERTECH,CYBERTECH
ICICIBANK,ICICIBANK
CYIENT,CYIENT
ENGINERSIN,ENGINERSIN
DHANBANK,DHANBANK
GMDCLTD,GMDCLTD
INDUSINDBK,INDUSINDBK
ITDC,ITDC
J&KBANK,J&KBANK
CUB,CUB
ARCHIES,ARCHIES
AXISBANK,AXISBANK
HBSTOCK,HBSL
SOUTHBANK,SOUTHBANK
ENERGYDEV,ENERGYDEV
SONATSOFTW,SONATSOFTW
NATIONALUM,NATIONALUM
INDNIPPON,INDNIPPON
NSIL,NSIL
APARINDS,APARINDS
ACCELYA,ACCELYA
HCLTECH,HCLTECH
GEOJITFSL,GEOJITFSL
JINDALSTEL,JINDALSTEL
BLBLIMITED,BLBLIMITED
GLENMARK,GLENMARK
WOCKPHARMA,WOCKPHARMA
TATACOFFEE,TATACOFFEE
INDSWFTLAB,INDSWFTLAB
MELSTAR,MELSTAR
GEPIL,GEPIL
SHREERAMA,SHREERAMA
MAHLIFE,MAHLIFE
CADILAHC,CADILAHC
CINEVISTA,CINEVISTA
INTENTECH,INTENTECH
AJANTPHARM,AJANTPHARM
AMBICAAGAR,AMBICAAGAR
COMPUSOFT,COMPUSOFT
IZMO,IZMO
TVSMOTOR,TVSMOTOR
GATI,GATI
SUBEX,SUBEXLTD
TCI,TCI
AKSHOPTFBR,AKSHOPTFBR
TRIVENI,TRIVENI
MUKTAARTS,MUKTAARTS
DSSL,DSSL
PNBGILTS,PNBGILTS
BCG,BCG
RAMCOIND,RAMCOIND
RAMCOSYS,RAMCOSYS
TTML,TTML
STLTECH,STLTECH
TIPSINDLTD,TIPSINDLTD
MRO-TEK,MRO-TEK
BALAJITELE,BALAJITELE
CALSOFT,CALSOFT
PNC,PNC
IOB,IOB
